scenario,symbol,company_name,selection_count,avg_activity,avg_drop_pct
原始口径｜大跌池内活跃前三,GSUN,Golden Sun Technology Group Lim,1,28.233482598904754,-39.59537572254336
原始口径｜大跌池内活跃前三,NVVE,Nuvve Holding Corp.,1,27.825214051271637,-44.21416234887737
原始口径｜大跌池内活跃前三,MTEN,Mingteng International Corporat,1,25.66621839597103,-21.649484536082475
原始口径｜大跌池内活跃前三,CDTG,CDT Environmental Technology In,1,25.370373004689473,-8.510638297872353
原始口径｜大跌池内活跃前三,TRUG,"TruGolf Holdings, Inc.",1,24.482687857918222,-29.220779220779214
原始口径｜大跌池内活跃前三,SGLY,Singularity Future Technology L,1,24.040000468590218,-22.271714922049
原始口径｜大跌池内活跃前三,FRSX,Foresight Autonomous Holdings L,1,22.393793118819502,-25.531914893617024
原始口径｜大跌池内活跃前三,AHMA,Ambitions Enterprise Management,1,20.0766241516898,-50.76923076923077
原始口径｜大跌池内活跃前三,YMT,Yimutian Inc.,1,17.48892121776313,-13.793103448275856
原始口径｜大跌池内活跃前三,VEEE,Twin Vee PowerCats Co.,1,17.312017181064213,-30.95299922098156
原始口径｜大跌池内活跃前三,PAVS,Paranovus Entertainment Technol,1,15.732122866783529,-8.653846153846157
原始口径｜大跌池内活跃前三,VSA,VisionSys AI Inc.,1,15.06289057100915,-44.52554744525548
原始口径｜大跌池内活跃前三,WFF,WF Holding Limited,1,12.769946860806131,-15.441176470588236
原始口径｜大跌池内活跃前三,RUBI,Rubico Inc.,1,11.691643418751951,-24.193548387096765
原始口径｜大跌池内活跃前三,GVH,Globavend Holdings Limited - Or,1,11.29015887836843,-68.90756302521008
原始口径｜大跌池内活跃前三,FCUV,Focus Universal Inc.,1,11.22678713152871,-10.112359550561834
原始口径｜大跌池内活跃前三,ZCMD,Zhongchao Inc.,1,10.98290623187596,-59.67365967365967
原始口径｜大跌池内活跃前三,CAPS,Capstone Holding Corp.,1,10.824247253384714,-9.168081494057711
原始口径｜大跌池内活跃前三,JUNS,"Jupiter Neurosciences, Inc.",1,9.80082757311144,-35.937500000000014
原始口径｜大跌池内活跃前三,MGIH,Millennium Group International ,1,9.582475897435897,-10.344827586206895
原始口径｜大跌池内活跃前三,MASK,3 E Network Technology Group Lt,1,9.421422286777188,-13.317191283292972
原始口径｜大跌池内活跃前三,NWGL,CL Workshop Group Limited,1,8.067229123599049,-31.428571428571438
原始口径｜大跌池内活跃前三,CLRO,"ClearOne, Inc.",1,7.91578423761764,-26.589595375722542
原始口径｜大跌池内活跃前三,VTAK,"Catheter Precision, Inc.",1,7.8540575283943905,-13.846153846153841
原始口径｜大跌池内活跃前三,ACCL,Acco Group Holdings Limited,1,7.535612061765169,-11.48648648648648
原始口径｜大跌池内活跃前三,PFSA,"Profusa, Inc.",1,7.1050876138706975,-28.654970760233923
原始口径｜大跌池内活跃前三,CCHH,CCH Holdings Ltd,1,6.897971295527374,-22.222222222222232
原始口径｜大跌池内活跃前三,CHNR,"China Natural Resources, Inc.",1,6.656305690551031,-11.943793911007017
原始口径｜大跌池内活跃前三,CTNT,Cheetah Net Supply Chain Servic,1,6.45384587808945,-9.340659340659352
原始口径｜大跌池内活跃前三,TDIC,Dreamland Limited,1,6.0588231949075535,-96.52928416485899
原始口径｜大跌池内活跃前三,STKH,Steakholder Foods Ltd.,1,5.9833107574560405,-24.72222222222222
原始口径｜大跌池内活跃前三,BTOG,Bit Origin Limited,1,5.903135084337851,-24.53987730061349
原始口径｜大跌池内活跃前三,AEHL,Antelope Enterprise Holdings Li,1,5.772574031031882,-13.777089783281738
原始口径｜大跌池内活跃前三,BBLG,Bone Biologics Corp,1,5.633858020965543,-27.612761276127607
原始口径｜大跌池内活跃前三,VIVS,"VivoSim Labs, Inc.",1,5.571880544660063,-10.89108910891089
原始口径｜大跌池内活跃前三,TRIB,Trinity Biotech plc,1,5.425290866671846,-39.00343642611684
